case,reference,tensor,dtype,units,bytes_equal,actual_sha256,reference_sha256,different_bytes,signedMean,meanAbsolute,rms,maximumAbsolute
noise-only,actual46,color,float32,native tensor domain,True,d3b66f3cf93ebfbf5053546a1df459c16e23af2febba46f90eb8a433ccc6d90b,d3b66f3cf93ebfbf5053546a1df459c16e23af2febba46f90eb8a433ccc6d90b,0,0.0,0.0,0.0,0.0
noise-only,actual46,confidence,float32,native tensor domain,True,f51c91d28bb8a48d0e651aca1de8a95c7268a7256186755cc1f593a8daf1e727,f51c91d28bb8a48d0e651aca1de8a95c7268a7256186755cc1f593a8daf1e727,0,0.0,0.0,0.0,0.0
noise-only,actual46,depth,float32,native tensor domain,True,ffcaf79cd731afb703849d9bbda978a6b7478ac2d719ccba895f2e7007e91439,ffcaf79cd731afb703849d9bbda978a6b7478ac2d719ccba895f2e7007e91439,0,0.0,0.0,0.0,0.0
noise-only,actual46,fullResolutionModel,float32,native tensor domain,False,1554915c7ce7ed1b64ab4750373d0848c195bf7810bbab4635ad728b2ffad17c,6438e99da25f1eed08bba556aaba62d10edc7a1b2c164770dc7dcd74df3982d6,4099623,-0.00063105992549685,0.000986345082635683,0.002011941092571917,0.05019879341125488
noise-only,actual46,fullResolutionProxy,float32,native tensor domain,True,15e9e92059e12c6b8e29c23bc016fc24726cd3a68db3f160100a2d1409aff722,15e9e92059e12c6b8e29c23bc016fc24726cd3a68db3f160100a2d1409aff722,0,0.0,0.0,0.0,0.0
noise-only,actual46,incomingHistory,float32,native tensor domain,False,09e747ebe39c60fa878cb1e51c4bad9d5571cd81dbb29e55fc118cc42527be1d,b3540620ad4b754f90f6bd194292b6df811ba5e048c237c4aac214fd78bf18f2,1079436,0.0003006474130015872,0.00103960744803544,0.002189496595571597,0.0369873046875
noise-only,actual46,logicalFeatures,float32,native tensor domain,False,e6fcb6c85510564c084575ae3bcf93fa36e283378818b946cea4848a9c639166,350c64f3996a6dd5616e04c686f00f9d42fcf14a04f6d2265350d3b9b0dc309a,427815,1.0156452067909703e-05,1.2545505216207983e-05,4.8029700290603166e-05,0.002593994140625
noise-only,actual46,logicalHead,float16,native tensor domain,False,dbf72749e78729bee94d074754d9dcaede37ca7d16f1f464033bf8d327fa0a4b,c738d5bccdad3fff9892d56965beab9a4af56556f31d8f61c1a37794a39c4b68,1023958,0.0030679267380643673,0.047508239038203705,0.12193807076041616,1.6494140625
noise-only,actual46,motion,float32,native tensor domain,True,e08d642195483e5877337e4b00bafb8ba1e9e00210ca6a4954eaa6cf0a5b6620,e08d642195483e5877337e4b00bafb8ba1e9e00210ca6a4954eaa6cf0a5b6620,0,0.0,0.0,0.0,0.0
noise-only,actual46,networkFeatures,float32,native tensor domain,False,0a9fa6e7346386f66ba0ca307ae0513a7a296b57f3f7d2c7cd5e0bc97337a26f,7bd69224422bce84555596db27473e2769bf66be885d278f6aefa2a566413e05,465480,9.773733731144318e-06,1.198077775974582e-05,4.6166856038452016e-05,0.002593994140625
noise-only,actual46,networkHead,float16,native tensor domain,False,71f7215a9797a5f19df3e4b4608699142f6470cf5c88edaaead4a5f59bb5bb2b,6dc91abb7344665f23b962e11644ad71c17dc7c7f353b896879e64018af371b6,1142290,0.000505705600426154,0.04664914717532156,0.1192812401362002,1.6494140625
noise-only,actual46,postprocessedSDR,float32,native tensor domain,False,8f21a6d5fd7811d43115cc780d525aca7d579e3552613c8489491608fbd080de,306c88adaaa2e9fb956e9f0dc7eecc3aa8f732f48ccf1f0162c9342fd035d0f2,1080029,-0.0006310814457332594,0.0009935913699842382,0.0020271338363272596,0.04376220703125
noise-only,actual46,preparedFeatures,float16,native tensor domain,False,35ea4f5676797fceee90a41eeb44c8c3bcf48f074a6413ce56b4aa2435ce28af,654c9cec152d7c7724d7e72aa3b9ff038f9c2c0e75c59e9e25f69e45229c3ba7,354901,9.773650754141272e-06,1.1980644057985045e-05,4.6166620886134496e-05,0.002593994140625
noise-only,enhanced45,enhanced,float32,RGB component cd/m2,False,6401974b691f4066ea06a0170978e5743f22b4d34bc087370deeb518eb5efa20,475a5d0c82a64f1a2bf877a38a052dbbb0523c6ec6b0c5e5dfceb884fdce6338,4300029,-0.8458924205760795,0.8971093370476325,10.750322105700919,336.314453125
noise-only,enhanced46,enhanced,float32,RGB component cd/m2,False,6401974b691f4066ea06a0170978e5743f22b4d34bc087370deeb518eb5efa20,95391140dcf1786acb18a0adb7d1253b4f0f53c0d7b018667333126fb21e3fcb,4340726,-0.2513256423282085,0.29502089879458165,2.8763583729640314,128.1029052734375
noise-only,original45,enhanced,float32,RGB component cd/m2,False,6401974b691f4066ea06a0170978e5743f22b4d34bc087370deeb518eb5efa20,1ed07bcafe6eb647226266a7e922e747b3e36498f573c08b707d4a27d6c41aeb,4808873,-4.996632900087782,5.683195811454497,51.87974063338745,1966.8743896484375
incoming-history-only,captured45,color,float32,native tensor domain,True,d3b66f3cf93ebfbf5053546a1df459c16e23af2febba46f90eb8a433ccc6d90b,d3b66f3cf93ebfbf5053546a1df459c16e23af2febba46f90eb8a433ccc6d90b,0,0.0,0.0,0.0,0.0
incoming-history-only,captured45,confidence,float32,native tensor domain,True,f51c91d28bb8a48d0e651aca1de8a95c7268a7256186755cc1f593a8daf1e727,f51c91d28bb8a48d0e651aca1de8a95c7268a7256186755cc1f593a8daf1e727,0,0.0,0.0,0.0,0.0
incoming-history-only,captured45,depth,float32,native tensor domain,True,ffcaf79cd731afb703849d9bbda978a6b7478ac2d719ccba895f2e7007e91439,ffcaf79cd731afb703849d9bbda978a6b7478ac2d719ccba895f2e7007e91439,0,0.0,0.0,0.0,0.0
incoming-history-only,captured45,fullResolutionModel,float32,native tensor domain,False,55080950bdbd4bf65d8b22b24e99cd1be20da2523dffaf253851e3767ca93612,c99029e8047eec701ad0110c2340bdf28394a2939638fd887feb80ae9e3c7b3a,4109436,-5.8678372062838766e-05,0.001308538475319969,0.0037017140348924115,0.07463490962982178
incoming-history-only,captured45,fullResolutionProxy,float32,native tensor domain,True,15e9e92059e12c6b8e29c23bc016fc24726cd3a68db3f160100a2d1409aff722,15e9e92059e12c6b8e29c23bc016fc24726cd3a68db3f160100a2d1409aff722,0,0.0,0.0,0.0,0.0
