sourceFrameIndex,ptsValue,ptsTimescale,durationValue,durationTimescale,phase,residual,controlHistoryReset,flashHistoryReset,publicMotionRequested,componentCount,sumNits,sumAbsoluteNits,sumSquaredNits2,signedMeanNits,meanAbsoluteNits,rmsNits,maximumAbsoluteNits,signedValueAtMaximumNits,maximumSourceFrameIndex,maximumX,maximumY,maximumChannel
24,24,30,1,30,event,controlEnhancedMinusOriginal,False,False,automatic,691200,-2611954.246192693,3179099.589845597,1096983841.3725436,-3.778868990440817,4.599391767716431,39.83806634066867,1694.0225830078125,-1694.0225830078125,24,447,226,B
24,24,30,1,30,event,flashEnhancedMinusOriginal,False,False,automatic,691200,-3260900.519330751,3929878.653853845,1706392247.7730033,-4.717738019865092,5.685588330228364,49.686404422073174,2380.8580322265625,-2380.8580322265625,24,447,226,B
24,24,30,1,30,event,pairedResidualDifference,False,False,automatic,691200,-648946.2731380584,872158.1852294328,73782938.22609456,-0.9388690294242743,1.261802930019434,10.331802797864285,722.58544921875,-722.58544921875,24,472,198,B
25,25,30,1,30,returnedInput,controlEnhancedMinusOriginal,False,False,automatic,691200,-2887722.3113166397,3445281.1290734117,1422730876.1313856,-4.1778389920668975,4.984492374238154,45.36903204254109,1721.086181640625,-1721.086181640625,25,447,226,B
25,25,30,1,30,returnedInput,flashEnhancedMinusOriginal,False,False,automatic,691200,-3437801.608135426,4073343.2038161396,1845899252.6199315,-4.973671308066299,5.893146996261776,51.67757574990948,1798.1053466796875,-1798.1053466796875,25,447,226,B
25,25,30,1,30,returnedInput,pairedResidualDifference,False,False,automatic,691200,-550079.2968187863,819730.7705781497,35025193.89381208,-0.7958323159994015,1.1859530824336657,7.118498688152123,287.714111328125,-287.714111328125,25,453,231,B
26,26,30,1,30,returnedInput,controlEnhancedMinusOriginal,False,False,automatic,691200,-2880929.958182631,3470877.6934722047,1370842110.6008232,-4.168012092278112,5.021524440787333,44.534015274778966,1698.0962524414062,-1698.0962524414062,26,447,226,B
26,26,30,1,30,returnedInput,flashEnhancedMinusOriginal,False,False,automatic,691200,-2998641.490200852,3519264.9127399074,1301807216.745382,-4.338312341147066,5.09152909829269,43.3981755906502,1725.3060302734375,-1725.3060302734375,26,447,226,B
26,26,30,1,30,returnedInput,pairedResidualDifference,False,False,automatic,691200,-117711.53201822098,381851.86204361264,3121644.447066253,-0.17030024886895398,0.5524477170769859,2.1251512905928256,100.1832275390625,100.1832275390625,26,478,204,B
27,27,30,1,30,returnedInput,controlEnhancedMinusOriginal,False,False,automatic,691200,-2805930.2198912576,3393069.8307604864,1340125833.5526342,-4.059505526463046,4.908955194965982,44.03225474881801,1701.6131591796875,-1701.6131591796875,27,472,198,B
27,27,30,1,30,returnedInput,flashEnhancedMinusOriginal,False,False,automatic,691200,-3043824.693002037,3574463.4523160374,1430059576.9233742,-4.403681558162669,5.171388096522045,45.48573330404018,1710.9232788085938,-1710.9232788085938,27,452,232,B
27,27,30,1,30,returnedInput,pairedResidualDifference,False,False,automatic,691200,-237894.4731107792,318249.3186932774,3026481.255586329,-0.3441760316996227,0.46043014857244996,2.0925080118112116,97.4664306640625,-97.4664306640625,27,482,218,B
28,28,30,1,30,returnedInput,controlEnhancedMinusOriginal,False,False,automatic,691200,-2663639.9877180974,3265672.9980317275,1148765435.7243814,-3.853645815564377,4.7246426476153465,40.76747515914183,1697.337646484375,-1697.337646484375,28,447,226,B
28,28,30,1,30,returnedInput,flashEnhancedMinusOriginal,False,False,automatic,691200,-2840409.1084926394,3386748.2239547637,1244001774.9397922,-4.109388177796064,4.899809351786406,42.42370901311079,1703.7720947265625,-1703.7720947265625,28,447,226,B
28,28,30,1,30,returnedInput,pairedResidualDifference,False,False,automatic,691200,-176769.12077454198,285318.4229842061,3466695.4402607656,-0.2557423622316869,0.41278707028965006,2.239525335250556,151.4527587890625,-151.4527587890625,28,453,231,B
29,29,30,1,30,returnedInput,controlEnhancedMinusOriginal,False,False,automatic,691200,-2578539.7717795307,3152482.6237177188,1075225948.22963,-3.7305262901902934,4.560883425517533,39.441007801487956,1683.9312744140625,-1683.9312744140625,29,447,226,B
29,29,30,1,30,returnedInput,flashEnhancedMinusOriginal,False,False,automatic,691200,-2708018.0527913203,3246321.4095231523,1077907782.9055834,-3.917850192117072,4.69664555775919,39.49016416205777,1695.0510864257812,-1695.0510864257812,29,452,232,B
29,29,30,1,30,returnedInput,pairedResidualDifference,False,False,automatic,691200,-129478.28101178957,230865.0030396809,1416636.0916527351,-0.1873239019267789,0.33400608078657534,1.4316184486794807,103.5657958984375,-103.5657958984375,29,453,231,B
30,30,30,1,30,returnedInput,controlEnhancedMinusOriginal,False,False,automatic,691200,-2570724.248618394,3137343.072838038,1072748726.566876,-3.7192191096909637,4.538980140101328,39.39554737555004,1692.8533325195312,-1692.8533325195312,30,447,226,B
30,30,30,1,30,returnedInput,flashEnhancedMinusOriginal,False,False,automatic,691200,-2849669.616397762,3378212.7874025344,1271090822.9916632,-4.122785903353244,4.887460629922648,42.88312509044392,1715.3956298828125,-1715.3956298828125,30,447,226,B
30,30,30,1,30,returnedInput,pairedResidualDifference,False,False,automatic,691200,-278945.36777936807,332098.9186204546,11052959.1698074,-0.4035667936622802,0.4804671855041299,3.998871218373179,156.5203857421875,-156.5203857421875,30,446,214,B
