sampleKind,sourceFrameIndex,previousSourceFrameIndex,ptsValue,ptsTimescale,durationValue,durationTimescale,phase,metric,controlHistoryReset,grainHistoryReset,componentCount,sumNits,sumAbsoluteNits,sumSquaredNits2,signedMeanNits,meanAbsoluteNits,rmsNits,maximumAbsoluteNits,signedValueAtMaximumNits,maximumSourceFrameIndex,maximumX,maximumY,maximumChannel
frame,12,,12,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,R
adjacent,12,11,12,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,R
adjacent,12,11,12,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,R
adjacent,12,11,12,30,1,30,prefix,deltaD,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,R
frame,13,,13,30,1,30,prefix,C,False,False,691200,-2495404.509923394,3112610.599148984,1083483477.382161,-3.610249580328984,4.503198204787303,39.592167825935746,1689.526123046875,-1689.526123046875,13,447,226,B
frame,13,,13,30,1,30,prefix,R,False,False,691200,-2495404.509923394,3112610.599148984,1083483477.382161,-3.610249580328984,4.503198204787303,39.592167825935746,1689.526123046875,-1689.526123046875,13,447,226,B
frame,13,,13,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,R
frame,13,,13,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,R
frame,13,,13,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,R
adjacent,13,12,13,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,R
adjacent,13,12,13,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,R
adjacent,13,12,13,30,1,30,prefix,deltaD,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,R
frame,14,,14,30,1,30,prefix,C,False,False,691200,-2473416.641703067,3092383.7849682546,1038494662.9831438,-3.5784384283898536,4.473934874086017,38.76147274501044,1678.7305297851562,-1678.7305297851562,14,447,226,B
frame,14,,14,30,1,30,prefix,R,False,False,691200,-2473416.641703067,3092383.7849682546,1038494662.9831438,-3.5784384283898536,4.473934874086017,38.76147274501044,1678.7305297851562,-1678.7305297851562,14,447,226,B
frame,14,,14,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0,R
frame,14,,14,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0,R
