sourceFrameIndex,ptsValue,ptsTimescale,durationValue,durationTimescale,phase,generation,historyReset,usedModel,publicMotionRequested,region,residual,regionPixels,temporalSupportPixels,temporalUnavailableReason,signedMeanNits,meanAbsoluteNits,rmsNits,maximumAbsoluteNits,temporalSignedMeanNits,temporalMeanAbsoluteNits,temporalRmsNits,temporalMaximumAbsoluteNits
7,7,30,1,30,staticPreroll,1,False,True,automatic,newlyRevealedBackground,identityMinusOriginal,0,0,empty region,,,,,,,,
7,7,30,1,30,staticPreroll,1,False,True,automatic,newViewportBackground,enhancedMinusOriginal,0,0,empty region,,,,,,,,
7,7,30,1,30,staticPreroll,1,False,True,automatic,newViewportBackground,identityMinusOriginal,0,0,empty region,,,,,,,,
8,8,30,1,30,panAndOcclusion,1,False,True,automatic,background,enhancedMinusOriginal,434880,421200,,-3.843375610405535,4.68251504068329,42.07924428179639,1963.3767700195312,0.5823860155918463,0.7561854959495753,6.9036960753721095,466.1019287109375
8,8,30,1,30,panAndOcclusion,1,False,True,automatic,background,identityMinusOriginal,434880,421200,,-1.9325457398201983e-10,4.158363290823702e-08,1.8456515866932658e-07,1.9073486328125e-06,0.0,0.0,0.0,0.0
8,8,30,1,30,panAndOcclusion,1,False,True,automatic,foreground,enhancedMinusOriginal,83520,83520,,-0.6300345506909212,3.3220139966495004,8.439148022159781,179.95993041992188,0.7195538482470569,0.8296554350262059,1.1877151548066665,24.99078369140625
8,8,30,1,30,panAndOcclusion,1,False,True,automatic,foreground,identityMinusOriginal,83520,83520,,-7.631373740399629e-09,2.1883582703455198e-07,7.409539035351461e-07,3.814697265625e-06,0.0,0.0,0.0,0.0
8,8,30,1,30,panAndOcclusion,1,False,True,automatic,newlyRevealedBackground,enhancedMinusOriginal,10440,0,no visible same-material predecessor,0.0672485512144873,0.9890462122010697,1.5358615515357796,8.447980880737305,,,,
8,8,30,1,30,panAndOcclusion,1,False,True,automatic,newlyRevealedBackground,identityMinusOriginal,10440,0,no visible same-material predecessor,-1.1418514324787475e-10,8.190880942314216e-08,2.4433420090861664e-07,9.5367431640625e-07,,,,
8,8,30,1,30,panAndOcclusion,1,False,True,automatic,newViewportBackground,enhancedMinusOriginal,3240,0,no visible same-material predecessor,0.3643823998087228,0.3643823998087228,0.36999705381523074,0.5459146499633789,,,,
8,8,30,1,30,panAndOcclusion,1,False,True,automatic,newViewportBackground,identityMinusOriginal,3240,0,no visible same-material predecessor,-4.0472289662302276e-10,2.3118262428315087e-08,7.267933551787213e-08,2.384185791015625e-07,,,,
9,9,30,1,30,panAndOcclusion,1,False,True,automatic,background,enhancedMinusOriginal,434880,421200,,-3.8631471811696847,4.661744492429653,44.038169907065466,1956.8663940429688,0.04196667743306635,0.4729114880113273,3.4296010734816953,451.3671875
9,9,30,1,30,panAndOcclusion,1,False,True,automatic,background,identityMinusOriginal,434880,421200,,-1.8509950507994169e-10,4.1971946679291436e-08,1.838936085208091e-07,1.9073486328125e-06,0.0,0.0,0.0,0.0
9,9,30,1,30,panAndOcclusion,1,False,True,automatic,foreground,enhancedMinusOriginal,83520,83520,,-0.07369745927666567,3.4333811934723366,7.962397425355317,165.6352996826172,0.5563370914142555,0.6947238551978483,1.5219230346687795,27.22998046875
9,9,30,1,30,panAndOcclusion,1,False,True,automatic,foreground,identityMinusOriginal,83520,83520,,-7.631373740399629e-09,2.1883582703455198e-07,7.409539035351461e-07,3.814697265625e-06,0.0,0.0,0.0,0.0
9,9,30,1,30,panAndOcclusion,1,False,True,automatic,newlyRevealedBackground,enhancedMinusOriginal,10440,0,no visible same-material predecessor,-11.257897951126415,13.907500797476665,61.53842317806887,844.5689086914062,,,,
9,9,30,1,30,panAndOcclusion,1,False,True,automatic,newlyRevealedBackground,identityMinusOriginal,10440,0,no visible same-material predecessor,-4.034541728091575e-10,7.12895911010898e-08,2.2650446108771186e-07,9.5367431640625e-07,,,,
9,9,30,1,30,panAndOcclusion,1,False,True,automatic,newViewportBackground,enhancedMinusOriginal,3240,0,no visible same-material predecessor,0.29616769569400897,0.29616769569400897,0.300893224091004,0.42626237869262695,,,,
9,9,30,1,30,panAndOcclusion,1,False,True,automatic,newViewportBackground,identityMinusOriginal,3240,0,no visible same-material predecessor,-3.5566557582023215e-10,2.3167319749117878e-08,7.284008624898854e-08,2.384185791015625e-07,,,,
10,10,30,1,30,panAndOcclusion,1,False,True,automatic,background,enhancedMinusOriginal,434880,421200,,-4.963799652839743,5.7326555345572885,56.327790424422695,2002.74169921875,-0.9564003728878091,1.2643815999035455,14.791515117080383,624.4794921875
10,10,30,1,30,panAndOcclusion,1,False,True,automatic,background,identityMinusOriginal,434880,421200,,-1.2504438983186484e-10,4.255515974410644e-08,1.8359325057056788e-07,1.9073486328125e-06,0.0,0.0,0.0,0.0
10,10,30,1,30,panAndOcclusion,1,False,True,automatic,foreground,enhancedMinusOriginal,83520,83520,,-0.5211714155077554,3.607781781573063,8.823911191973966,163.944580078125,-0.4474739562310897,0.729820456891053,1.6833017887453154,32.843475341796875
10,10,30,1,30,panAndOcclusion,1,False,True,automatic,foreground,identityMinusOriginal,83520,83520,,-7.631373740399629e-09,2.1883582703455198e-07,7.409539035351461e-07,3.814697265625e-06,0.0,0.0,0.0,0.0
10,10,30,1,30,panAndOcclusion,1,False,True,automatic,newlyRevealedBackground,enhancedMinusOriginal,10440,0,no visible same-material predecessor,-17.04846266279887,19.1188956576076,57.89495837173308,819.8467407226562,,,,
10,10,30,1,30,panAndOcclusion,1,False,True,automatic,newlyRevealedBackground,identityMinusOriginal,10440,0,no visible same-material predecessor,1.046697146438852e-09,6.328521255941379e-08,2.120713790280499e-07,9.5367431640625e-07,,,,
10,10,30,1,30,panAndOcclusion,1,False,True,automatic,newViewportBackground,enhancedMinusOriginal,3240,0,no visible same-material predecessor,0.29355574657397016,0.29355574657397016,0.3001203298621911,0.4594230651855469,,,,
10,10,30,1,30,panAndOcclusion,1,False,True,automatic,newViewportBackground,identityMinusOriginal,3240,0,no visible same-material predecessor,-4.0472289662302276e-10,2.331449171152625e-08,7.31605280984317e-08,2.384185791015625e-07,,,,
